"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"AQP9",-0.60897251235877,9.70691810759851,-2.41717771059861,0.0183745968133292,0.0332201626130538,-4.23320828992325,"NS"
"SLC29A3",0.28100013471086,8.77884113047612,2.41695044174197,0.0183851268919468,0.0332355148959199,-4.23371696435816,"NS"
"GTPBP2",0.263371134562496,8.29552225556987,2.41614577888993,0.0184224528700681,0.033299298402837,-4.23551764306621,"NS"
"SIX5",0.146141083931697,7.19436900187404,2.41597952708772,0.0184301732575411,0.0333095604468407,-4.23588961956957,"NS"
"PLGRKT",0.272676938505205,9.66480239960403,2.41572610194195,0.0184419473643104,0.0333236754187904,-4.23645659890854,"NS"
"MACIR",0.263887027009028,7.67376158896842,2.41572344459271,0.0184420708601414,0.0333236754187904,-4.23646254384022,"NS"
"ANGEL1",0.16550074842641,8.6293119714486,2.41550521035486,0.0184522154552409,0.033338311256898,-4.23695075137284,"NS"
"ABHD14B",-0.289980901576065,10.0876388539317,-2.41535045822339,0.0184594121171788,0.033347618300109,-4.23729692192625,"NS"
"CES2",-0.186987628218168,9.31287908791674,-2.41452556435201,0.0184978157420706,0.0334132935806247,-4.2391418427072,"NS"
"MON1B",-0.131581695277093,8.88908369017034,-2.41444603242224,0.0185015221937133,0.0334150559859968,-4.23931969234376,"NS"
"MYO3A",0.0970206970964211,4.08981056935441,2.41441667699029,0.0185028904220792,0.0334150559859968,-4.23938533584344,"NS"
"PRAF2",0.228004202037347,8.74322815826594,2.41436741851145,0.0185051865156871,0.0334155012683311,-4.23949548427562,"NS"
"HS3ST4",0.103092060004054,5.56543957022226,2.4141833122186,0.0185137705500814,0.0334266460211784,-4.2399071534607,"NS"
"STAP1",0.417002365814761,6.46546029324159,2.41413884149147,0.0185158445508656,0.0334266460211784,-4.24000658787499,"NS"
"PPA1",0.159461653233324,11.976963238116,2.41406523530117,0.0185192778118218,0.0334266460211784,-4.24017116441387,"NS"
"FCGR2B",0.483679688638748,9.52020715680794,2.41405920270881,0.0185195592191673,0.0334266460211784,-4.24018465253813,"NS"
"ODAD1",-0.368584242762619,6.49870037318676,-2.41388077971026,0.0185278839951893,0.033437969964309,-4.24058357133505,"NS"
"TMOD4",-0.138042980739393,5.85707084188402,-2.41376265399706,0.0185333972909324,0.0334442179780146,-4.24084766363773,"NS"
"TM9SF1",0.153428531078958,9.70023113174214,2.41370788801112,0.018535953888438,0.0334451297252205,-4.240970099648,"NS"
"ZSCAN20",0.100898666205089,5.10480030610253,2.41357777828447,0.0185420289639803,0.0334523890924793,-4.24126096639714,"NS"
"BCAM",-0.319621623851431,8.94866567753026,-2.41347117638252,0.0185470077412612,0.0334576691982211,-4.24149927043924,"NS"
"ZNF787",0.114394857709793,7.33424024336273,2.41337400600075,0.0185515470671298,0.0334621554798634,-4.24171648302794,"NS"
"GPR55",0.104650872445178,5.17171379068696,2.41306936515805,0.0185657848440253,0.0334841323116138,-4.24239742310273,"NS"
"PSME4",0.169996925069189,9.09676158867832,2.41268311214377,0.0185838509247872,0.0335130080165612,-4.243260680905,"NS"
"TMEM123",0.187654326844333,11.7879360970017,2.41134802196517,0.0186464178409446,0.0336221186107897,-4.24624365369442,"NS"
"CACNA2D1",-0.267254381745541,7.10936524937093,-2.41104676919062,0.0186605616120414,0.0336439009756411,-4.24691654693978,"NS"
"ZSCAN12",0.132647511020998,5.53785481601846,2.41065546421519,0.0186789476486167,0.0336733262343041,-4.2477904799883,"NS"
"ALPG",0.169408414699467,7.63930491984145,2.41027042810504,0.0186970549488985,0.0336968410720173,-4.24865029612621,"NS"
"ANKRD17",0.106461704271918,9.42331481687556,2.41026479109279,0.0186973201602811,0.0336968410720173,-4.2486628831654,"NS"
