"Var1","Freq"
"ADH4",3
"ADH5",10
"ADH6",7
"ADH7",5
"ADHFE1",10
"ADI1",10
"ADIG",10
"ADIPOQ",3
"ADIPOR1",10
"ADIPOR2",10
"ADIRF",8
"ADISSP",8
"ADK",10
"ADM",10
"ADM2",10
"ADM5",8
"ADNP",10
"ADNP2",10
"ADO",10
"ADORA1",10
"ADORA2A",3
"ADORA2B",10
"ADORA3",10
"ADPGK",10
"ADPRH",10
"ADPRHL1",10
"ADPRM",8
"ADPRS",8
"ADRA1A",7
"ADRA1B",6
"ADRA1D",5
"ADRA2A",10
"ADRA2B",10
"ADRA2C",10
"ADRB1",9
"ADRB2",10
"ADRB3",9
"ADRM1",10
"ADSL",10
"ADSS1",8
"ADSS2",8
"ADTRP",8
"AEBP1",10
"AEBP2",10
"AEN",10
"AFAP1",8
"AFAP1L1",10
"AFAP1L2",9
"AFDN",8
"AFF1",10
"AFF2",7
"AFF3",7
"AFF4",10
"AFG1L",3
"AFG2A",6
"AFG2B",8
"AFG3L2",10
"AFM",3
"AFMID",10
"AFP",6
"AFTPH",10
"AGA",10
"AGAP1",10
"AGAP2",10
"AGAP3",10
"AGAP4",1
"AGAP5",1
"AGAP6",1
"AGBL1",7
"AGBL2",6
"AGBL3",3
"AGBL4",3
"AGBL5",10
"AGER",10
"AGFG1",10
"AGFG2",10
"AGGF1",10
"AGK",10
"AGL",10
"AGMAT",9
"AGMO",2
"AGO1",8
"AGO2",8
"AGO3",8
"AGO4",8
"AGPAT1",10
"AGPAT2",10
"AGPAT3",10
"AGPAT4",10
"AGPAT5",9
"AGPS",10
"AGR2",10
"AGR3",10
"AGRN",10
"AGRP",10
"AGT",10
"AGTPBP1",10
"AGTR1",10
"AGTR2",7
"AGTRAP",10
"AGXT",7
"AGXT2",5
"AHCTF1",10
"AHCY",10
"AHCYL1",10
"AHCYL2",10
"AHDC1",10
"AHI1",10
"AHNAK",10
"AHNAK2",10
"AHR",10
"AHRR",3
"AHSA1",10
"AHSG",6
"AHSP",9
"AICDA",5
"AIDA",3
"AIF1",10
"AIF1L",10
"AIFM1",10
"AIFM2",10
"AIFM3",10
"AIG1",7
"AIM2",10
"AIMP1",10
"AIMP2",10
"AIP",10
"AIPL1",9
"AIRE",10
"AIRIM",8
"AJAP1",6
"AJM1",1
"AJUBA",10
"AK1",10
"AK2",10
"AK3",10
"AK4",9
"AK5",7
"AK6",8
"AK7",6
"AK8",10
"AK9",6
"AKAIN1",2
"AKAP1",10
"AKAP10",10
"AKAP11",10
"AKAP12",10
"AKAP13",10
"AKAP14",4
"AKAP17A",10
"AKAP3",7
"AKAP4",7
"AKAP5",9
"AKAP6",7
"AKAP7",10
"AKAP8",10
"AKAP8L",10
"AKAP9",10
"AKIP1",10
"AKIRIN1",10
"AKIRIN2",10
"AKNA",10
"AKNAD1",3
"AKR1A1",10
"AKR1B1",10
"AKR1B10",7
"AKR1B15",3
"AKR1C1",10
"AKR1C2",8
"AKR1C3",10
"AKR1C4",5
"AKR1C8",1
"AKR1D1",2
"AKR1E2",9
"AKR7A2",10
"AKR7A3",10
"AKR7L",2
"AKT1",10
"AKT1S1",10
"AKT2",10
"AKT3",10
"AKTIP",10
"ALAD",10
"ALAS1",10
"ALAS2",10
"ALB",3
"ALCAM",10
"ALDH16A1",10
"ALDH18A1",10
"ALDH1A1",10
"ALDH1A2",10
"ALDH1A3",10
"ALDH1B1",10
"ALDH1L1",10
"ALDH1L2",9
"ALDH2",10
"ALDH3A1",10
"ALDH3A2",10
"ALDH3B1",10
"ALDH3B2",8
"ALDH4A1",10
"ALDH5A1",10
"ALDH6A1",10
"ALDH7A1",10
"ALDH8A1",5
"ALDH9A1",10
"ALDOA",3
"ALDOB",5
"ALDOC",10
"ALG1",10
"ALG10",6
"ALG10B",10
"ALG11",3
"ALG12",10
"ALG13",10
"ALG14",10
"ALG1L2",3
"ALG2",10
"ALG3",10
"ALG5",10
"ALG6",10
"ALG8",10
"ALG9",10
"ALK",8
"ALKAL2",8
"ALKBH1",10
"ALKBH2",10
"ALKBH3",10
"ALKBH4",10
"ALKBH5",10
"ALKBH6",10
"ALKBH7",10
"ALKBH8",10
"ALLC",5
"ALMS1",10
"ALOX12",6
"ALOX12B",8
"ALOX15",7
"ALOX15B",10
"ALOX5",10
"ALOX5AP",10
"ALOXE3",6
"ALPG",8
"ALPI",9
"ALPK1",10
"ALPK2",6
"ALPK3",10
"ALPL",10
"ALPP",9
"ALS2",10
"ALS2CL",10
"ALX1",8
"ALX3",10
"ALX4",10
"ALYREF",8
"AMACR",5
"AMBN",7
"AMBP",10
"AMBRA1",10
"AMD1",10
"AMDHD1",5
"AMDHD2",10
"AMELX",3
"AMELY",5
"AMER1",6
"AMER2",2
